"curve","x","density"
"Bulk spectrum",2.18304706353218,0.18423177113268
"Bulk spectrum",2.19695333606578,0.183202342496423
"Bulk spectrum",2.21085960859939,0.182181319859693
"Bulk spectrum",2.22476588113299,0.18116863627381
"Bulk spectrum",2.23867215366659,0.180164677705929
"Bulk spectrum",2.2525784262002,0.179169765756273
"Bulk spectrum",2.2664846987338,0.178184163420537
"Bulk spectrum",2.2803909712674,0.177208082671579
"Bulk spectrum",2.29429724380101,0.176241693244433
"Bulk spectrum",2.30820351633461,0.175285870388655
"Bulk spectrum",2.32210978886822,0.174340908879544
"Bulk spectrum",2.33601606140182,0.173406015872494
"Bulk spectrum",2.34992233393542,0.172481270579807
"Bulk spectrum",2.36382860646903,0.17156673941573
"Bulk spectrum",2.37773487900263,0.170662470811284
"Bulk spectrum",2.39164115153624,0.169768487527805
"Bulk spectrum",2.40554742406984,0.168884776717601
"Bulk spectrum",2.41945369660344,0.168011846867521
"Bulk spectrum",2.43335996913705,0.167150013462583
"Bulk spectrum",2.44726624167065,0.166297917416197
"Bulk spectrum",2.46117251420426,0.165455190606737
"Bulk spectrum",2.47507878673786,0.164621358171867
"Bulk spectrum",2.48898505927146,0.1637958370981
"Bulk spectrum",2.50289133180507,0.162977939606108
"Bulk spectrum",2.51679760433867,0.16216688162991
"Bulk spectrum",2.53070387687227,0.16136198640162
"Bulk spectrum",2.54461014940588,0.160562502212389
"Bulk spectrum",2.55851642193948,0.159766738184163
"Bulk spectrum",2.57242269447309,0.158973777661964
"Bulk spectrum",2.58632896700669,0.158182774737689
"Bulk spectrum",2.60023523954029,0.1573929856471
"Bulk spectrum",2.6141415120739,0.156603796520283
"Bulk spectrum",2.6280477846075,0.155814746407909
"Bulk spectrum",2.64195405714111,0.15502553944815
"Bulk spectrum",2.65586032967471,0.154236071226102
"Bulk spectrum",2.66976660220831,0.153446549682487
"Bulk spectrum",2.68367287474192,0.152657306572041
"Bulk spectrum",2.69757914727552,0.151868791760768
"Bulk spectrum",2.71148541980912,0.151081542647019
"Bulk spectrum",2.72539169234273,0.150296151917355
"Bulk spectrum",2.73929796487633,0.149513234971036
"Bulk spectrum",2.75320423740994,0.148733416178136
"Bulk spectrum",2.76711050994354,0.147957935171384
"Bulk spectrum",2.78101678247714,0.147186750076764
"Bulk spectrum",2.79492305501075,0.146420223501015
"Bulk spectrum",2.80882932754435,0.145658634335071
"Bulk spectrum",2.82273560007796,0.144902185198861
"Bulk spectrum",2.83664187261156,0.144151014160441
"Bulk spectrum",2.85054814514516,0.143405209751248
"Bulk spectrum",2.86445441767877,0.142664828282846
"Bulk spectrum",2.87836069021237,0.141930750829233
"Bulk spectrum",2.89226696274598,0.141202288293449
"Bulk spectrum",2.90617323527958,0.140479458739453
"Bulk spectrum",2.92007950781318,0.139762374945095
"Bulk spectrum",2.93398578034679,0.139051169411016
"Bulk spectrum",2.94789205288039,0.138345982971322
"Bulk spectrum",2.96179832541399,0.13764694880232
"Bulk spectrum",2.9757045979476,0.136954172482753
"Bulk spectrum",2.9896108704812,0.136268541200936
"Bulk spectrum",3.00351714301481,0.1355893127118
"Bulk spectrum",3.01742341554841,0.13491608362204
"Bulk spectrum",3.03132968808201,0.134248511014488
"Bulk spectrum",3.04523596061562,0.133586123303201
"Bulk spectrum",3.05914223314922,0.132928327405502
"Bulk spectrum",3.07304850568283,0.132274423668478
"Bulk spectrum",3.08695477821643,0.131623628331318
"Bulk spectrum",3.10086105075003,0.130975238141261
"Bulk spectrum",3.11476732328364,0.130328060429706
"Bulk spectrum",3.12867359581724,0.129681233579241
"Bulk spectrum",3.14257986835085,0.129034105726378
"Bulk spectrum",3.15648614088445,0.128386162607117
"Bulk spectrum",3.17039241341805,0.12773705006686
"Bulk spectrum",3.18429868595166,0.127086588996345
"Bulk spectrum",3.19820495848526,0.126434782267064
"Bulk spectrum",3.21211123101886,0.12578175085668
"Bulk spectrum",3.22601750355247,0.125128049359104
"Bulk spectrum",3.23992377608607,0.124474330428311
"Bulk spectrum",3.25383004861968,0.12382126828893
"Bulk spectrum",3.26773632115328,0.123169603977847
"Bulk spectrum",3.28164259368688,0.122520120561387
"Bulk spectrum",3.29554886622049,0.121873620832526
"Bulk spectrum",3.30945513875409,0.121230907989582
"Bulk spectrum",3.3233614112877,0.120593223271151
"Bulk spectrum",3.3372676838213,0.119961530253175
"Bulk spectrum",3.3511739563549,0.119336135875406
"Bulk spectrum",3.36508022888851,0.118717675079625
"Bulk spectrum",3.37898650142211,0.118106721457287
"Bulk spectrum",3.39289277395571,0.117503776233365
"Bulk spectrum",3.40679904648932,0.116909254945595
"Bulk spectrum",3.42070531902292,0.116323471840865
"Bulk spectrum",3.43461159155653,0.11574719865647
"Bulk spectrum",3.44851786409013,0.115180743081719
"Bulk spectrum",3.46242413662373,0.114622981048175
"Bulk spectrum",3.47633040915734,0.114073486031255
"Bulk spectrum",3.49023668169094,0.113531639959228
"Bulk spectrum",3.50414295422455,0.11299663829124
"Bulk spectrum",3.51804922675815,0.112467503231425
"Bulk spectrum",3.53195549929175,0.111943105278645
"Bulk spectrum",3.54586177182536,0.111422279055308
"Bulk spectrum",3.55976804435896,0.110903480844517
"Bulk spectrum",3.57367431689257,0.110384984455835
"Bulk spectrum",3.58758058942617,0.109865547154464
"Bulk spectrum",3.60148686195977,0.109344064114013
"Bulk spectrum",3.61539313449338,0.108819615114542
"Bulk spectrum",3.62929940702698,0.108291504445505
"Bulk spectrum",3.64320567956058,0.107759292626855
"Bulk spectrum",3.65711195209419,0.107222698701194
"Bulk spectrum",3.67101822462779,0.106681558882185
"Bulk spectrum",3.6849244971614,0.106137034150025
"Bulk spectrum",3.698830769695,0.105589936367606
"Bulk spectrum",3.7127370422286,0.10504125046464
"Bulk spectrum",3.72664331476221,0.104492081073371
"Bulk spectrum",3.74054958729581,0.103943595311347
"Bulk spectrum",3.75445585982942,0.103396963653941
"Bulk spectrum",3.76836213236302,0.102853352709773
"Bulk spectrum",3.78226840489662,0.102314489775053
"Bulk spectrum",3.79617467743023,0.101780609160559
"Bulk spectrum",3.81008094996383,0.101252168183801
"Bulk spectrum",3.82398722249743,0.100729389811379
"Bulk spectrum",3.83789349503104,0.100212267833554
"Bulk spectrum",3.85179976756464,0.099700582313387
"Bulk spectrum",3.86570604009825,0.0991939241701197
"Bulk spectrum",3.87961231263185,0.0986917277059687
"Bulk spectrum",3.89351858516545,0.0981937440473062
"Bulk spectrum",3.90742485769906,0.097698505217432
"Bulk spectrum",3.92133113023266,0.0972052442855548
"Bulk spectrum",3.93523740276627,0.0967132612527226
"Bulk spectrum",3.94914367529987,0.0962219310825074
"Bulk spectrum",3.96304994783347,0.095730722512236
"Bulk spectrum",3.97695622036708,0.0952392104734478
"Bulk spectrum",3.99086249290068,0.0947470822929159
"Bulk spectrum",4.00476876543429,0.0942540122352998
"Bulk spectrum",4.01867503796789,0.0937600348715939
"Bulk spectrum",4.03258131050149,0.0932652276104148
"Bulk spectrum",4.0464875830351,0.0927697204101248
"Bulk spectrum",4.0603938555687,0.0922737015027868
"Bulk spectrum",4.0743001281023,0.0917774051992981
"Bulk spectrum",4.08820640063591,0.0912811000224215
"Bulk spectrum",4.10211267316951,0.0907850771883151
"Bulk spectrum",4.11601894570312,0.0902897613283183
"Bulk spectrum",4.12992521823672,0.0897954648289591
"Bulk spectrum",4.14383149077032,0.0893024307960393
"Bulk spectrum",4.15773776330393,0.0888108925512573
"Bulk spectrum",4.17164403583753,0.0883210403244089
"Bulk spectrum",4.18555030837114,0.0878330147257266
"Bulk spectrum",4.19945658090474,0.0873469026502116
"Bulk spectrum",4.21336285343834,0.0868627360152817
"Bulk spectrum",4.22726912597195,0.0863806887707416
"Bulk spectrum",4.24117539850555,0.0859005667127541
"Bulk spectrum",4.25508167103916,0.0854221526119137
"Bulk spectrum",4.26898794357276,0.0849453369158044
"Bulk spectrum",4.28289421610636,0.0844700252329277
"Bulk spectrum",4.29680048863997,0.0839961524984458
