"normal_quantile","empirical_quantile"
-1.53547714589635,-1.08034010040527
-1.53006758813783,-1.07901944567021
-1.52470243823962,-1.07818503851582
-1.51938082108956,-1.06720921034733
-1.51410188761928,-1.06560149485071
-1.50886481376916,-1.06476027354777
-1.50366879950451,-1.06194743887368
-1.49851306787998,-1.06188767016228
-1.49339686414932,-1.05525699558172
-1.48831945491792,-1.0533632435043
-1.48328012733562,-1.05181852529452
-1.47827818832758,-1.05089376329327
-1.47331296386098,-1.04563483535718
-1.46838379824566,-1.04252565351809
-1.4634900534667,-1.0417015868537
-1.45863110854737,-1.0414025674949
-1.45380635894057,-1.03864166259817
-1.4490152159475,-1.03816846981828
-1.44425710616187,-1.03538417023925
-1.43953147093846,-1.03519349929479
-1.4348377658847,-1.03501240888822
-1.43017546037413,-1.02622861012354
-1.42554403708045,-1.02519791735743
-1.42094299153141,-1.02360337344805
-1.41637183168123,-1.02313981323106
-1.41183007750081,-1.02245541761205
-1.40731726058482,-1.02220549684331
-1.40283292377481,-1.02135299869643
-1.3983766207975,-1.02085800854362
-1.3939479159177,-1.01804327227631
-1.38954638360497,-1.01641662779967
-1.38517160821344,-1.00832984377142
-1.38082318367416,-1.00832922239495
-1.37650071319949,-1.00816847520048
-1.37220380899873,-1.00656040377028
-1.36793209200476,-1.00303174512242
-1.36368519161101,-1.00254174519127
-1.35946274541826,-1.00078703140312
-1.35526439899101,-0.997791414542618
-1.35108980562281,-0.997152669181693
-1.34693862611028,-0.996933487984748
-1.34281052853528,-0.996574651161747
-1.33870518805512,-0.995920713501986
-1.33462228670019,-0.994414259008167
-1.3305615131789,-0.991729267785813
-1.32652256268947,-0.991676585739363
-1.32250513673844,-0.991085202691275
-1.31850894296539,-0.989332306557333
-1.31453369497389,-0.987062878839224
-1.31057911216813,-0.986370848048126
-1.30664491959526,-0.986092388274059
-1.30273084779302,-0.984645111993488
-1.29883663264251,-0.983003740862197
-1.29496201522591,-0.982655962754571
-1.29110674168896,-0.982488563911671
-1.28727056310794,-0.981918608590024
-1.28345323536102,-0.98189177239076
-1.27965451900386,-0.981502625633727
-1.27587417914913,-0.981261426092238
-1.27211198535006,-0.978391215083874
-1.26836771148758,-0.973952642160774
-1.26464113566108,-0.973465407487929
-1.26093204008267,-0.972083075818531
-1.2572402109747,-0.97154411726073
-1.25356543847045,-0.96966580489313
-1.24990751651799,-0.968804924041596
-1.2462662427869,-0.968802883941264
-1.24264141857788,-0.964722193632043
-1.23903284873511,-0.964278879264054
-1.23544034156125,-0.963274460092125
-1.23186370873498,-0.962837904506499
-1.22830276523102,-0.962432424642652
-1.22475732924248,-0.960224958916465
-1.22122722210557,-0.957631028079965
-1.21771226822641,-0.955779738897097
-1.21421229501006,-0.955365799548264
-1.2107271327916,-0.950620999020207
-1.20725661476908,-0.948543879253398
-1.20380057693857,-0.94458790971278
-1.20035885803086,-0.942068219395361
-1.19693129945012,-0.941443385236503
-1.19351774521416,-0.940924145169371
-1.19011804189642,-0.936669716375909
-1.18673203856958,-0.934905751110893
-1.18335958675067,-0.934756999841547
-1.18000054034773,-0.928909454803316
-1.17665475560792,-0.9267857230562
-1.17332209106706,-0.92222541129081
-1.17000240750048,-0.921963127055125
-1.16669556787521,-0.919486136634189
-1.16340143730351,-0.917537066673349
-1.16011988299752,-0.916258669619049
-1.1568507742252,-0.914270805958612
-1.15359398226739,-0.911735170875972
-1.15034938037601,-0.910949654559313
-1.1471168437333,-0.909802720068752
-1.14389624941219,-0.907874650661625
-1.14068747633762,-0.907698803335698
-1.13749040524889,-0.907424699520168
-1.13430491866296,-0.906634161689006
-1.13113090083863,-0.905508154375701
-1.12796823774175,-0.90478758423831
-1.12481681701115,-0.901724633843665
-1.12167652792549,-0.901412683887758
-1.11854726137097,-0.897834783062519
-1.11542890980978,-0.889799066591904
-1.11232136724931,-0.887301688461046
-1.10922452921219,-0.881067737888727
-1.10613829270698,-0.88082773816424
-1.1030625561996,-0.878485535042759
-1.09999721958547,-0.875351620311816
-1.09694218416229,-0.874434546464847
-1.09389735260344,-0.871908515749812
-1.09086262893208,-0.871532681152994
-1.08783791849581,-0.871477206706559
-1.08482312794196,-0.869739243791067
-1.08181816519339,-0.868520523690276
-1.07882293942496,-0.868214968304481
-1.07583736104043,-0.865909422028386
-1.07286134165,-0.865649380844703
-1.06989479404827,-0.864994815854531
-1.06693763219277,-0.864523974711589
-1.06398977118292,-0.86433148083152
-1.06105112723954,-0.863021811134367
-1.05812161768478,-0.862486773454792
-1.05520116092244,-0.862196999974689
-1.05228967641885,-0.853329870835595
-1.0493870846841,-0.851851592825753
-1.04649330725368,-0.849493314705936
-1.04360826667053,-0.849073409426022
-1.04073188646754,-0.848142481786044
-1.03786409115035,-0.843997691518769
-1.03500480618056,-0.843841185031881
-1.03215395795931,-0.843372165109776
-1.0293114738112,-0.839641949551393
-1.02647728196857,-0.834115784089076
-1.02365131155609,-0.833442424601489
-1.02083349257569,-0.833297091748911
-1.01802375589183,-0.831854527380633
-1.01522203321703,-0.831839726275718
-1.01242825709775,-0.83151576696818
-1.00964236090055,-0.830077688828477
-1.00686427879852,-0.828522096770383
-1.00409394575803,-0.828176642242622
-1.00133129752569,-0.824191399495938
-0.99857627061566,-0.824062600841522
-0.995828802297131,-0.823357410326146
-0.993088830582139,-0.822493038205186
-0.990356294213575,-0.820807412034755
-0.987631132653452,-0.820603830133324
-0.984913286071416,-0.816754333672263
-0.98220269533347,-0.815502010726973
-0.979499301990942,-0.813655393771707
-0.976803048269651,-0.812500306354848
-0.974113877059309,-0.811570561300469
-0.97143173190311,-0.808268225409558
-0.968756556987539,-0.804146198567301
-0.966088297132373,-0.803314719392202
-0.963426897780878,-0.802665807215115
-0.960772304990192,-0.800406448507622
-0.958124465421903,-0.800275858906777
-0.955483326332795,-0.799791626936235
-0.952848835565784,-0.795020658724282
-0.950220941541015,-0.793568922077801
-0.947599593247138,-0.7930945458973
-0.944984740232741,-0.792439982017302
-0.942376332597951,-0.786582812493821
-0.939774320986186,-0.780740716997665
-0.937178656576067,-0.778180291628211
-0.93458929107348,-0.777106959284392
-0.932006176703778,-0.77657591703196
-0.929429266204136,-0.773420444651303
-0.926858512816044,-0.77065839457276
-0.924293870277933,-0.770569292978826
-0.921735292817943,-0.769521216592746
-0.91918273514682,-0.769244425317622
-0.916636152450934,-0.765300124067459
-0.914095500385439,-0.764973828322109
-0.911560735067541,-0.764899715110923
-0.909031813069893,-0.76437519337388
-0.906508691414112,-0.76304962362919
-0.903991327564402,-0.762901228081381
-0.901479679421297,-0.76248673240638
-0.898973705315516,-0.757133773976351
-0.896473364001916,-0.75488054471519
-0.893978614653564,-0.752902370512184
-0.891489416855903,-0.750446141181587
-0.889005730601025,-0.74957188693844
-0.886527516282038,-0.749315806806479
-0.88405473468754,-0.748754883396131
-0.881587346996175,-0.748375064141108
-0.879125314771293,-0.747544325813128
-0.876668599955698,-0.746868732208043
-0.874217164866483,-0.745497797321418
-0.871770972189959,-0.739559194664129
-0.869329984976658,-0.738783982591734
-0.866894166636438,-0.737358834063854
-0.864463480933651,-0.736524446776469
-0.862037891982408,-0.734309902855972
-0.859617364241911,-0.734111904420834
-0.857201862511873,-0.732907477959955
-0.854791351928003,-0.728661710250237
-0.852385797957575,-0.727168700174513
-0.849985166395066,-0.726247242789665
-0.847589423357864,-0.724370015067696
-0.84519853528205,-0.724344087478957
-0.842812468918244,-0.724288655735748
-0.840431191327524,-0.722453838838245
-0.838054669877407,-0.715882312360292
-0.835682872237893,-0.715136846299591
-0.833315766377581,-0.713318312172391
-0.830953320559838,-0.711952449791892
-0.828595503339034,-0.710191318442972
-0.826242283556835,-0.70948066920273
-0.823893630338558,-0.709480034503745
-0.821549513089577,-0.709327320787291
-0.819209901491795,-0.703044086379951
-0.816874765500164,-0.703034413164604
-0.814544075339258,-0.700120209272076
-0.812217801499913,-0.699690175356847
-0.809895914735898,-0.698651773887703
-0.807578386060657,-0.698133566195063
-0.805265186744091,-0.69608657529253
-0.802956288309394,-0.695898745853776
-0.800651662529929,-0.695692024072776
-0.798351281426168,-0.692391719937809
-0.796055117262663,-0.690896960594689
-0.793763142545069,-0.689680449285496
-0.791475330017218,-0.687681056671663
-0.789191652658222,-0.687173872895548
-0.78691208367964,-0.686899114347434
-0.784636596522669,-0.68679182215473
-0.782365164855387,-0.685760001908832
-0.780097762570036,-0.684208673598795
-0.777834363780343,-0.683638334158825
-0.775574942818884,-0.679837922212442
-0.773319474234482,-0.678332870615298
-0.771067932789649,-0.677809369068132
-0.768820293458062,-0.676482838708512
-0.766576531422076,-0.676124204356712
-0.764336622070278,-0.675785324104152
-0.762100540995067,-0.675710901723737
-0.759868263990279,-0.675231863215762
-0.757639767048844,-0.675137565123857
-0.755415026360469,-0.669798456311278
-0.753194018309367,-0.668770490883256
-0.750976719472009,-0.66797370637197
-0.748763106614909,-0.666538207064824
-0.746553156692447,-0.665504753072114
-0.744346846844718,-0.662733260911539
-0.742144154395409,-0.662202547847425
-0.739945056849712,-0.661451651189789
-0.737749531892264,-0.659577827964131
-0.735557557385111,-0.659266046873319
-0.73336911136571,-0.657035316940187
-0.731184172044954,-0.656853013113282
-0.729002717805219,-0.656492741964334
-0.726824727198447,-0.655566504048915
-0.724650178944256,-0.655446429126649
-0.722479051928063,-0.654181922559317
-0.720311325199247,-0.654039669172351
-0.718146977969336,-0.649472331586595
-0.715985989610205,-0.648603348918264
-0.713828339652317,-0.64755695387036
-0.711674007782977,-0.64733047312547
-0.709522973844608,-0.646321239401377
-0.707375217833061,-0.645033649231216
-0.705230719895934,-0.644849398541434
-0.703089460330929,-0.642607840973126
-0.700951419584212,-0.640419524221115
-0.698816578248817,-0.636553244735112
-0.696684917063051,-0.631020770211977
-0.694556416908933,-0.630700890483809
-0.692431058810651,-0.627051215486076
-0.690308823933034,-0.62632765835318
-0.688189693580052,-0.625472194170681
-0.686073649193329,-0.624376626904714
-0.683960672350682,-0.621826583719784
-0.681850744764672,-0.62175954353905
-0.67974384828118,-0.613560196892028
-0.677639964877996,-0.613404207571166
-0.675539076663432,-0.61189123033907
-0.67344116587495,-0.609651087291078
-0.671346214877805,-0.60645209357158
-0.669254206163712,-0.60620767277527
-0.667165122349522,-0.605316015385427
-0.665078946175923,-0.604834959172635
-0.662995660506153,-0.604701817303342
-0.660915248324727,-0.601977840538728
-0.658837692736188,-0.600791212689836
-0.656762976963864,-0.599186443859492
-0.654691084348651,-0.597259148166856
-0.652621998347801,-0.593880680855284
-0.650555702533734,-0.591323748811481
-0.648492180592857,-0.587481661596914
-0.646431416324407,-0.586616177887161
-0.644373393639299,-0.584667860621098
-0.642318096558993,-0.584348946253749
-0.640265509214374,-0.583518257788599
-0.63821561584465,-0.583015235209546
-0.636168400796254,-0.578435784217459
-0.63412384852177,-0.577491531603214
-0.632081943578865,-0.576007891861481
-0.630042670629235,-0.57568077002805
-0.62800601443757,-0.574484193593963
-0.625971959870521,-0.572424399002899
