"n","theoretical","observed"
150,0.266491438294724,0.233574195846137
150,0.267634295468679,0.234233274008413
150,0.268777806077304,0.234541111701306
150,0.269921970868234,0.234613823912097
150,0.271066790590391,0.236525915852852
150,0.272212265993983,0.237507027221507
150,0.273358397830507,0.237827392219212
150,0.274505186852753,0.239723867975939
150,0.275652633814807,0.240183054434277
150,0.276800739472053,0.24124517525919
150,0.277949504581178,0.24342633097584
150,0.279098929900171,0.244390436214583
150,0.280249016188333,0.245546035367431
150,0.28139976420627,0.24619849384119
150,0.282551174715907,0.246698449267292
150,0.283703248480483,0.247128500657119
150,0.284855986264556,0.248953280211337
150,0.286009388834009,0.250742047140569
150,0.287163456956048,0.252001706893517
150,0.288318191399211,0.252738461545268
150,0.289473592933367,0.253434657967946
150,0.290629662329718,0.259300862483406
150,0.291786400360806,0.259336559948967
150,0.292943807800515,0.26024374328087
150,0.294101885424071,0.261068608022507
150,0.295260634008049,0.26590962819711
150,0.296420054330374,0.265974191835756
150,0.297580147170325,0.266373046677083
150,0.298740913308537,0.268858827721999
150,0.299902353527008,0.272194313073162
150,0.301064468609095,0.278078133856763
150,0.302227259339523,0.278800668818923
150,0.303390726504388,0.279617543760425
150,0.304554870891156,0.279633521612486
150,0.305719693288671,0.279902594127541
150,0.306885194487156,0.282057720744957
150,0.308051375278215,0.282615143910603
150,0.309218236454838,0.282647790721325
150,0.310385778811404,0.283921491738354
150,0.311554003143685,0.285095666278597
150,0.312722910248846,0.289624717208196
150,0.313892500925453,0.290084284303165
150,0.315062775973472,0.292789554842295
150,0.316233736194274,0.293239605636858
150,0.317405382390641,0.29413717758381
150,0.318577715366764,0.294829525041761
150,0.319750735928249,0.295623674182141
150,0.320924444882122,0.2961638487151
150,0.32209884303683,0.297840603278949
150,0.323273931202244,0.2993517273152
150,0.324449710189664,0.301146119618817
150,0.325626180811823,0.302133967080165
150,0.326803343882887,0.303755011385788
150,0.327981200218462,0.304704218448831
150,0.329159750635595,0.306937368744262
150,0.330338995952778,0.307641698454939
150,0.331518936989953,0.309115210210158
150,0.332699574568512,0.309525816011995
150,0.333880909511305,0.310188950723616
150,0.335062942642638,0.311268353564258
150,0.336245674788283,0.311453997308445
150,0.337429106775475,0.311534096247721
150,0.33861323943292,0.313680686499823
150,0.339798073590795,0.313861219813331
150,0.340983610080755,0.313940515136678
150,0.342169849735934,0.317658154822387
150,0.34335679339095,0.31801891950978
150,0.344544441881906,0.318019226779468
150,0.345732796046399,0.318445787505258
150,0.346921856723516,0.319609187977413
150,0.348111624753844,0.320231112815345
150,0.34930210097947,0.320441103819788
150,0.350493286243986,0.32077270342535
150,0.351685181392491,0.320934648566441
150,0.352877787271598,0.324268824629637
150,0.354071104729435,0.324366536820142
150,0.355265134615646,0.328125291084773
150,0.356459877781402,0.328521969421462
150,0.357655335079398,0.329239329842918
150,0.358851507363858,0.329741185784602
150,0.360048395490542,0.330852686074371
150,0.361246000316746,0.331266041504744
150,0.362444322701307,0.331385278478378
150,0.363643363504607,0.332202752804909
150,0.364843123588576,0.333032264152295
150,0.366043603816696,0.333040255413173
150,0.367244805054005,0.333416253998355
150,0.368446728167102,0.334226147964009
150,0.369649374024146,0.339021435562875
150,0.370852743494867,0.340572922909621
150,0.372056837450562,0.341059466286698
150,0.373261656764106,0.341771000074634
150,0.374467202309951,0.342556866806846
150,0.37567347496413,0.342757353323906
150,0.376880475604264,0.343847374601899
150,0.378088205109563,0.344428298402207
150,0.379296664360831,0.344666335139979
150,0.38050585424047,0.344964200389789
150,0.381715775632482,0.345590363872211
150,0.382926429422476,0.346050573766834
150,0.384137816497669,0.350219691642631
150,0.385349937746892,0.35119295541077
150,0.386562794060593,0.35411549358179
150,0.38777638633084,0.354764321940853
150,0.388990715451327,0.354905219379402
150,0.390205782317375,0.355171516039066
150,0.391421587825941,0.35607924008467
150,0.392638132875617,0.356866192977063
150,0.393855418366634,0.357660527348865
150,0.39507344520087,0.358762628858228
150,0.396292214281852,0.360287261747262
150,0.397511726514759,0.360312799360792
150,0.398731982806426,0.360317488905293
150,0.399952984065351,0.361111533864659
150,0.401174731201694,0.361448216965948
150,0.402397225127288,0.362505667367547
150,0.403620466755634,0.364319184661849
150,0.404844457001915,0.364918740546705
150,0.406069196782992,0.365971096631084
150,0.407294687017414,0.372345668516067
150,0.408520928625417,0.373268655452847
150,0.409747922528932,0.373304139192981
150,0.410975669651588,0.37461838452326
150,0.412204170918716,0.376599791623779
150,0.413433427257352,0.376957271635397
150,0.414663439596245,0.379212493988864
150,0.415894208865855,0.379614307662752
150,0.417125735998363,0.379705879170791
150,0.418358021927675,0.380510914090607
150,0.419591067589419,0.382341719410892
150,0.420824873920961,0.383145355982265
150,0.422059441861397,0.383387582839265
150,0.423294772351567,0.383584298083424
150,0.424530866334054,0.384415524333583
150,0.425767724753189,0.38743898795644
150,0.427005348555059,0.387954825211684
150,0.428243738687505,0.388349716874102
150,0.429482896100132,0.389207575456529
150,0.43072282174431,0.390035743568387
150,0.43196351657318,0.394285738105517
150,0.433204981541658,0.39584693417578
150,0.434447217606439,0.395982587965956
150,0.435690225726003,0.398292044471127
150,0.436934006860616,0.399410441904009
150,0.438178561972338,0.400733225867569
150,0.439423892025028,0.401250340460704
150,0.440669997984342,0.401275173778719
150,0.441916880817745,0.402328525602972
150,0.443164541494515,0.40283389237442
150,0.444412980985739,0.403368046134457
150,0.445662200264329,0.404971690372777
150,0.446912200305019,0.412599234571458
150,0.448162982084372,0.413236162746299
150,0.449414546580785,0.416145927605106
150,0.450666894774491,0.416397432621308
150,0.451920027647568,0.417209835421607
150,0.45317394618394,0.41893560047162
150,0.454428651369382,0.419892051202491
150,0.455684144191528,0.422398193360601
150,0.45694042563987,0.424063613094582
150,0.458197496705767,0.42503285281942
150,0.45945535838245,0.425351512420511
150,0.460714011665023,0.427039688313893
150,0.461973457550471,0.430302827892079
150,0.463233697037664,0.430442622652476
150,0.464494731127361,0.430679448932507
150,0.465756560822214,0.4310198934205
150,0.467019187126776,0.431310235492331
150,0.468282611047502,0.43195327374619
150,0.469546833592758,0.431978617888728
150,0.47081185577282,0.432232791686784
150,0.472077678599885,0.432497428376315
150,0.473344303088072,0.434015332992595
150,0.474611730253428,0.434142080074883
150,0.475879961113934,0.436072100543894
150,0.477148996689506,0.436826048039262
150,0.478418838002006,0.438158086374066
150,0.479689486075242,0.438394691470371
150,0.480960941934974,0.439000562687266
150,0.48223320660892,0.439389626467138
150,0.483506281126762,0.439812537682833
150,0.484780166520148,0.440225706371308
150,0.486054863822699,0.441719352184793
150,0.487330374070013,0.442619070797722
150,0.488606698299672,0.443832421140788
150,0.489883837551244,0.445831386896882
150,0.491161792866291,0.446425321884619
150,0.492440565288373,0.446743906916131
150,0.493720155863052,0.45045681478819
150,0.495000565637898,0.451211364269095
150,0.496281795662496,0.451323405412087
150,0.497563846988449,0.452109109569142
150,0.498846720669381,0.453390823801357
150,0.500130417760948,0.453934729878073
150,0.501414939320839,0.455220344240589
150,0.502700286408781,0.458423772436562
150,0.503986460086548,0.462197082470853
150,0.50527346141796,0.463342635414561
150,0.506561291468897,0.463446540530058
150,0.507849951307295,0.463863019143427
150,0.509139442003158,0.466205144785304
150,0.510429764628559,0.466287619090783
150,0.51172092025765,0.46721054913453
150,0.513012909966662,0.469135846959697
150,0.514305734833916,0.47052457861317
150,0.515599395939823,0.470531215180529
150,0.516893894366892,0.471198665793173
150,0.518189231199737,0.47146674151119
150,0.519485407525079,0.471620817281103
150,0.520782424431755,0.472473167533888
150,0.52208028301072,0.473620501803672
150,0.523378984355055,0.476863306450287
150,0.524678529559972,0.477277281474165
150,0.525978919722819,0.480331729127306
150,0.527280155943086,0.483852869588895
150,0.528582239322411,0.484313262518537
150,0.529885170964583,0.487110530884383
150,0.531188951975552,0.490691304818666
150,0.532493583463432,0.492961261920577
150,0.533799066538505,0.494284763296779
150,0.53510540231323,0.495062116343026
150,0.536412591902248,0.495352460005078
150,0.537720636422386,0.496270243730774
150,0.539029536992664,0.496324224899682
150,0.5403392947343,0.496587931877668
150,0.541649910770716,0.497536909892035
150,0.542961386227546,0.49862187793772
150,0.544273722232637,0.499283004210077
150,0.545586919916061,0.501727397646722
150,0.546900980410113,0.502938867843369
150,0.548215904849326,0.502951812870254
150,0.549531694370469,0.504938355516589
150,0.550848350112558,0.506280848995579
150,0.552165873216858,0.506345917924974
150,0.553484264826893,0.507108845230086
150,0.554803526088449,0.507596756347004
150,0.556123658149581,0.510808970011107
150,0.557444662160618,0.513364009062602
150,0.558766539274172,0.515260925302722
150,0.560089290645139,0.515416880902195
150,0.561412917430711,0.515515992014901
150,0.562737420790378,0.515520772653157
150,0.564062801885933,0.516448180910319
150,0.565389061881484,0.51673775170212
150,0.566716201943453,0.51840559529324
150,0.568044223240588,0.520277683391706
150,0.569373126943965,0.52120603827942
150,0.570702914226997,0.521553474550293
150,0.572033586265439,0.52345576912221
150,0.573365144237395,0.525189032668035
150,0.574697589323321,0.525745471236535
150,0.576030922706037,0.528834088022936
150,0.577365145570729,0.529180771445245
150,0.578700259104956,0.530140737879885
150,0.580036264498657,0.530287743367172
150,0.581373162944159,0.53187501756703
150,0.58271095563618,0.533434484429846
150,0.584049643771836,0.534726146889214
150,0.58538922855065,0.535822141786027
150,0.586729711174558,0.538669393559113
150,0.588071092847912,0.539262554395395
150,0.589413374777491,0.539776661517032
150,0.590756558172502,0.541246290936538
150,0.592100644244595,0.541348368746005
150,0.59344563420786,0.542165849911938
150,0.59479152927884,0.54327841773528
150,0.596138330676536,0.544261854008962
150,0.597486039622412,0.545298363018989
150,0.598834657340404,0.54793190703198
150,0.600184185056925,0.55006833517783
