"normal_quantile","empirical_quantile"
-0.636168400796254,-0.458808230726669
-0.63412384852177,-0.458211766959683
-0.632081943578865,-0.45459104377273
-0.630042670629235,-0.452656873661951
-0.62800601443757,-0.450909265270406
-0.625971959870521,-0.449952863434153
-0.62394049189569,-0.449379081877836
-0.621911595580624,-0.448424994737432
-0.619885256091827,-0.447596227413234
-0.617861458693779,-0.44515117840375
-0.615840188747972,-0.441923728709878
-0.613821431711952,-0.436955765763642
-0.611805173138376,-0.435617953215661
-0.60979139867408,-0.435434988889709
-0.607780094059157,-0.434957687467603
-0.605771245126046,-0.434953179060713
-0.60376483779863,-0.432472588992019
-0.60176085809135,-0.432220642833871
-0.599759292108324,-0.432216324170628
-0.597760126042478,-0.429110986035029
-0.595763346174689,-0.427106661212345
-0.593768938872932,-0.426829991424268
-0.591776890591446,-0.423815715572838
-0.589787187869905,-0.423616666048766
-0.587799817332593,-0.421513959795339
-0.585814765687599,-0.420345579562433
-0.583832019726014,-0.420235819844056
-0.581851566321139,-0.419363532104398
-0.579873392427704,-0.419109899065863
-0.577897485081095,-0.418839590771241
-0.575923831396582,-0.412165775008385
-0.573952418568573,-0.410580940944962
-0.57198323386986,-0.408301949232953
-0.570016264650879,-0.40743648903478
-0.568051498338983,-0.401479642922256
-0.566088922437716,-0.399817327352492
-0.5641285245261,-0.396063478924103
-0.562170292257926,-0.395298045394892
-0.560214213361059,-0.394377061796006
-0.558260275636743,-0.392415362051139
-0.556308466958918,-0.392228315513994
-0.554358775273547,-0.391700209088248
-0.552411188597943,-0.390436018845034
-0.550465695020113,-0.388993069921672
-0.548522282698098,-0.388492431596646
-0.546580939859332,-0.387972270281054
-0.544641654799999,-0.387103052351028
-0.5427044158844,-0.385651005363476
-0.540769211544328,-0.385534047002944
-0.53883603027845,-0.383627314407932
-0.536904860651692,-0.383291354528758
-0.534975691294633,-0.380554892974168
-0.533048510902909,-0.372705674755586
-0.531123308236617,-0.372697546622792
-0.529200072119728,-0.364706405467498
-0.527278791439508,-0.362383222742411
-0.525359455145945,-0.358570898900424
-0.523442052251177,-0.357360574301843
-0.521526571828932,-0.356807583351024
-0.519613003013972,-0.352592123281017
-0.517701335001543,-0.346703347719273
-0.515791557046827,-0.34545731787651
-0.513883658464409,-0.345446100354205
-0.511977628627735,-0.340008486268915
-0.510073456968595,-0.339495646273297
-0.50817113297659,-0.339293263225636
-0.506270646198622,-0.337818417202358
-0.504371986238381,-0.335154000314674
-0.502475142755837,-0.334795197566126
-0.50058010546674,-0.334026226983322
-0.498686864142122,-0.329827004966125
-0.496795408607811,-0.329821659973476
-0.494905728743939,-0.327077293338902
-0.493017814484465,-0.32694456746419
-0.491131655816697,-0.325575192586218
-0.489247242780823,-0.325374606368251
-0.487364565469441,-0.323394145507163
-0.485483614027097,-0.322155825445322
-0.483604378649834,-0.319410247325979
-0.48172684958473,-0.318601484124288
-0.479851017129458,-0.31615303341908
-0.477976871631837,-0.315890439971786
-0.476104403489395,-0.313282404061956
-0.474233603148933,-0.312665267502222
-0.472364461106095,-0.312140269654204
-0.470496967904941,-0.311806877595699
-0.468631114137526,-0.309526558249095
-0.46676689044348,-0.307555470536541
-0.464904287509594,-0.304357670291361
-0.463043296069413,-0.304236570593131
