"normal_quantile","empirical_quantile"
-1.2660365415204,-0.890756381573868
-1.26324818792126,-0.887782307364889
-1.26046962152518,-0.887354307428302
-1.25770075256333,-0.886600089576223
-1.25494149250042,-0.885176019082108
-1.25219175401185,-0.884476961466021
-1.24945145096143,-0.880182833725964
-1.24672049837958,-0.877491569460984
-1.24399881244205,-0.87681218414285
-1.24128631044914,-0.876331137889711
-1.23858291080535,-0.875690082764722
-1.23588853299955,-0.874377111866325
-1.23320309758551,-0.871854841108904
-1.23052652616299,-0.87138691001525
-1.22785874135912,-0.868119718714353
-1.22519966681028,-0.867149859019329
-1.22254922714437,-0.86686688068663
-1.21990734796344,-0.866664678514569
-1.21727395582671,-0.866180919333124
-1.214648978234,-0.864713987575921
-1.21203234360944,-0.862739691523419
-1.20942398128564,-0.862579689202739
-1.20682382148808,-0.854856514091397
-1.20423179531996,-0.849049868759165
-1.20164783474724,-0.848235796053809
-1.19907187258413,-0.84696987654377
-1.19650384247879,-0.846591892804517
-1.19394367889937,-0.84652741433682
-1.19139131712034,-0.846406393352175
-1.18884669320911,-0.83662134994578
-1.18630974401293,-0.835854955124424
-1.18378040714602,-0.835648398051973
-1.18125862097704,-0.834845707398256
-1.17874432461675,-0.832137434804241
-1.17623745790596,-0.830980646528382
-1.17373796140371,-0.829145483245984
-1.17124577637569,-0.828202634373055
-1.16876084478291,-0.823037892949949
-1.16628310927058,-0.818772748574046
-1.1638125131572,-0.818724299907889
-1.16134900042391,-0.818276645178407
-1.15889251570403,-0.816739015863383
-1.15644300427279,-0.815854495932521
-1.15400041203726,-0.811471651090405
-1.15156468552653,-0.808440688636407
-1.14913577188204,-0.805120813502233
-1.14671361884808,-0.803931192401585
-1.14429817476252,-0.803587890939735
-1.14188938854768,-0.800737335285867
-1.13948720970142,-0.799059829309811
-1.13709158828835,-0.79866953843318
-1.13470247493125,-0.797944836276065
-1.1323198208026,-0.795737376292219
-1.12994357761636,-0.79381910602647
-1.1275736976198,-0.79160183447144
-1.12521013358557,-0.784072566160591
-1.12285283880385,-0.783081041201932
-1.1205017670747,-0.783052242886057
-1.11815687270053,-0.782729521241196
-1.11581811047871,-0.782341698603716
-1.1134854356943,-0.777015131986143
-1.11115880411295,-0.77683734309771
-1.1088381719739,-0.774597257073423
-1.10652349598311,-0.769891437084447
-1.10421473330654,-0.769821735504932
-1.10191184156352,-0.768767124357334
-1.09961477882027,-0.76874358144979
-1.09732350358348,-0.757523039382927
-1.09503797479409,-0.757311639502156
-1.09275815182112,-0.75642295507279
-1.0904839944556,-0.756082024180667
-1.08821546290468,-0.753582781930384
-1.08595251778573,-0.75036460272422
-1.08369512012069,-0.749335829581503
-1.08144323133038,-0.746738861703475
-1.07919681322897,-0.745701819552071
-1.07695582801858,-0.744004538424659
-1.0747202382839,-0.743415868001929
-1.07249000698698,-0.740974216647696
-1.07026509746201,-0.740724173492657
-1.06804547341032,-0.740446108152373
-1.06583109889534,-0.737252375640627
-1.06362193833772,-0.735548984745346
-1.06141795651052,-0.733204742429438
-1.05921911853448,-0.73315606396065
-1.05702538987331,-0.73267911152411
-1.05483673632921,-0.730652356425483
-1.05265312403827,-0.72900536962687
-1.05047451946611,-0.727938610123436
-1.0483008894035,-0.726840589564824
-1.04613220096207,-0.725483424735793
-1.04396842157013,-0.72025482794679
-1.04180951896852,-0.71834502940851
-1.03965546120651,-0.717596036090335
-1.03750621663782,-0.717359939906734
-1.03536175391669,-0.716763798848387
-1.03322204199396,-0.716408933847919
-1.0310870501133,-0.7132647664354
-1.02895674780743,-0.712690641836168
-1.02683110489443,-0.705796836915959
