"standardized_alpha","quantity","standardized_error"
-0.337818417202358,"Delta",0.123793454879324
-0.223775717689208,"Delta",0.0415699028702435
-0.674257314129137,"Delta",-0.710191318442972
-0.608417010671751,"Delta",-0.901412683887758
1.32232240328268,"Delta",2.04078569788758
-1.69606758814016,"Delta",-1.15364165128393
-0.897121683626532,"Delta",-0.659266046873319
-0.856704305484599,"Delta",-0.96966580489313
-0.618396877842435,"Delta",-0.692391719937809
0.846697303922077,"Delta",1.38495132158163
1.58993794370253,"Delta",1.6632423829951
0.678695580938909,"Delta",0.865352556156567
0.533299277710076,"Delta",0.51627691710208
-0.199236507544926,"Delta",-0.494906430275384
1.33021921574474,"Delta",1.72402275596865
-0.852510340374569,"Delta",-0.764899715110923
0.0802431200364183,"Delta",-0.133480330188646
0.0754106875521978,"Delta",-0.166370313643544
-0.501141733182749,"Delta",-0.748375064141108
0.206511632003331,"Delta",0.0931178720691844
0.535763081026802,"Delta",0.355498610157278
0.0331887170033867,"Delta",-0.0549270220594527
1.01833009450784,"Delta",1.11662489635775
-1.70515448719745,"Delta",-1.19849930580763
0.473501936742987,"Delta",0.0119375616579906
0.0672227500597351,"Delta",-0.542243530774486
0.198596395794496,"Delta",0.164434714728775
-0.327077293338932,"Delta",-0.304428421588229
1.05661432241477,"Delta",1.26551387333868
0.959718783340906,"Delta",1.17588917717993
0.778405800361011,"Delta",0.895149333933996
-0.102922783361944,"Delta",-0.108553998295578
0.337839843541365,"Delta",0.341865517821342
0.383992237952805,"Delta",0.26660402754034
-1.62034796794441,"Delta",-1.14566396704203
0.917382450545389,"Delta",0.866214850433624
-1.762931828852,"Delta",-1.26983292613351
0.641397617035276,"Delta",0.611358812387887
-0.261512612916296,"Delta",-0.304223565506637
0.605171749968981,"Delta",0.713770581882201
0.600216310303128,"Delta",0.549248022271384
0.953613894306711,"Delta",1.05966562872528
-0.122688727044967,"Delta",-0.536209748890377
-0.947305189376282,"Delta",-1.02220549684331
-0.300923577803789,"Delta",-0.233825577713863
-0.270319290092613,"Delta",-0.366833751603167
-0.391700209088248,"Delta",-0.685760001908832
1.12449809321829,"Delta",1.16049174383201
-0.143907131926385,"Delta",-0.765300124067459
-0.125306771863473,"Delta",-0.77657591703196
0.242719081532357,"Delta",-0.195504175467383
0.944474576830407,"Delta",1.30194526765029
0.435070209863289,"Delta",0.166658798044114
0.168154152384443,"Delta",-0.223005142332382
1.09115663119759,"Delta",1.37526785234162
1.34199191193454,"Delta",1.96935004963722
-1.65485291992466,"Delta",-1.11473404201481
0.713189076846092,"Delta",-0.135198598398937
-0.506658569421438,"Delta",-0.51387243181794
-0.585699102298359,"Delta",-0.64755695387036
-0.335154000314674,"Delta",-0.604701817303342
0.26054226963965,"Delta",-0.233930771719513
-0.329827004966125,"Delta",-0.208304143850249
-0.0161522088251799,"Delta",-0.0297969262267656
-0.0864864452124443,"Delta",-0.445740801817019
-0.114408465625857,"Delta",-0.369908120251077
0.934170588205364,"Delta",1.00245231026483
0.169726888442999,"Delta",-0.401418303607176
0.409018865658909,"Delta",0.326407160296319
0.632138405992442,"Delta",0.586206166495556
-0.315890439971756,"Delta",-0.676124204356712
0.876615938248352,"Delta",0.473033802906181
1.27613916885942,"Delta",1.87119779184867
1.84174652781883,"Delta",2.16095770969632
0.141946346235404,"Delta",0.234227086911906
-0.0525934574896601,"Delta",-0.184793668290741
0.109514094514692,"Delta",-0.48136530576707
0.485887282333298,"Delta",0.385388677413949
0.092125612760356,"Delta",-0.185660770139209
-0.171805733362731,"Delta",-0.656853013113282
0.619659503936854,"Delta",0.0701816426998937
0.996110761535856,"Delta",0.99468562140538
-0.481157360425147,"Delta",-0.36914301032099
0.431887076063827,"Delta",0.439353426032837
-0.611631929627243,"Delta",-0.515727123437378
0.412209966309351,"Delta",-0.115503683791012
-0.753582289876362,"Delta",-0.547754899226099
1.16212769980564,"Delta",1.13249203292142
-0.113395649246357,"Delta",-0.290722221827025
0.550307888940176,"Delta",0.69724380658433
-0.634094013013973,"Delta",-0.613560196892028
1.06032942019534,"Delta",1.49929395246098
-1.76198139978968,"Delta",-1.23861080946637
0.206228774213279,"Delta",-0.00531457031636187
-1.24281556498583,"Delta",-0.996574651161747
-0.302397961761135,"Delta",-0.762901228081381
0.531088301199936,"Delta",0.719571222235595
0.309240822770482,"Delta",0.436034026419659
0.19041190471826,"Delta",-0.477852016762301
0.675939720750829,"Delta",-0.0352470033576874
0.537238739915322,"Delta",0.268363952014902
1.63259624429719,"Delta",2.3234649529637
-0.838850533112316,"Delta",-0.436150940363353
-1.13200595365492,"Delta",-1.01804327227631
0.779959764278187,"Delta",1.02904416235246
0.0138745538020076,"Delta",-0.296154820776625
0.334865450131161,"Delta",0.268884805456561
0.507594711428437,"Delta",0.58163202913112
0.842360317572538,"Delta",0.49686412563988
1.53926703522114,"Delta",1.95461861830885
-0.124342608765689,"Delta",-0.342610084904829
1.47162592473627,"Delta",1.72737565396082
0.820855825357644,"Delta",0.508703653891949
-1.99747759098986,"Delta",-1.24118901014249
-0.687259838742508,"Delta",-0.940924145169371
1.03262576746777,"Delta",1.18357230924553
0.580120971407608,"Delta",0.550305375038211
1.02940209158372,"Delta",1.27333368175967
-0.283960258913198,"Delta",-0.366072926966419
2.08512446953033,"Delta",2.77830906637451
-0.166839576605489,"Delta",-0.289825842073506
-0.475809170386803,"Delta",-0.529476438828789
0.594404713415982,"Delta",0.66099429049879
1.40159060956205,"Delta",1.72843247518603
0.880232943038276,"Delta",0.514910647556673
1.48563605262125,"Delta",1.5625738301941
-0.00397711438491369,"Delta",-0.013208096732649
-0.0439225096579048,"Delta",0.0781997820746965
-1.39777120820045,"Delta",-1.07901944567021
-0.0972978499388608,"Delta",-0.630700890483809
-0.204319646045089,"Delta",-0.255307690621109
0.622127315377336,"Delta",0.244391798751334
0.649048290874612,"Delta",0.980213138176273
-0.209507386498542,"Delta",-0.146084614616644
0.188855817632584,"Delta",0.121228936294065
