"spike_index","K0","hat_lambda","mhat1","mhat2","mhat3","mhat4","hat_alpha","hat_Delta","hat_r2","d_alpha","d_Delta","d_r2","se_alpha","se_Delta","se_r2","ci_alpha_lower","ci_alpha_upper","ci_Delta_lower","ci_Delta_upper","ci_r2_lower","ci_r2_upper","ci_r2_display_lower","ci_r2_display_upper","phase_lower_bound","phase_certified","sample_gap_previous","sample_gap_next","minimum_neighbor_gap","previous_relative_gap","next_relative_gap","relative_neighbor_gap","phase_interior","separation_pass","regular_inference_valid","inference_status","K0_sensitivity","domain_hours"
3,6,1.03664234588056,-1.07627818959955,1.24671887992558,-1.52068743107954,2.00665929970217,0.929127812551947,0.929138685600746,0.832773808575519,1.07626559468185,0.114080540596587,0.263563991621091,0.111302407259405,0.0117976815877013,0.0272565683408256,0.710979102930904,1.14727652217299,0.90601565458778,0.952261716613712,0.779351916285347,0.886195700865692,0.779351916285347,0.886195700865692,0.909733226251597,1,0.497177981814645,0.218576171728348,0.218576171728348,0.324143560257628,0.210850128394748,0.210850128394748,TRUE,TRUE,TRUE,"regular_separated",6,12
4,6,0.81806617415221,-1.45358038193621,2.44271507775929,-5.12821725399572,15.3142743543412,0.687956450449593,0.864978460233682,0.727407549681915,1.15609815269832,0.724697494581513,0.94265328491215,0.0854137262933053,0.0535413998397605,0.0696441988762364,0.520548623129352,0.855364277769833,0.760039244865892,0.969917675601471,0.590907428152347,0.863907671211483,0.590907428152347,0.863907671211483,0.776910694515192,1,0.218576171728348,0.00906357594356832,0.00906357594356832,0.210850128394748,0.011079269904982,0.011079269904982,TRUE,FALSE,FALSE,"weak_sample_separation",6,12
5,6,0.809002598208641,-1.47615324538248,2.5396513419949,-5.57876499586752,17.9294183431319,0.677436440375061,0.858002973802534,0.71846800206951,1.16549712592272,0.817184917327251,1.03228696830152,0.0844488084316893,0.0592110362194155,0.0747967562456303,0.511919817311628,0.842953063438494,0.741951475325183,0.974054472279886,0.571869053667654,0.865066950471367,0.571869053667654,0.865066950471367,0.760609486121474,1,0.00906357594356832,0.0402326574720758,0.00906357594356832,0.011079269904982,0.049731184499484,0.011079269904982,TRUE,FALSE,FALSE,"weak_sample_separation",6,12
6,6,0.768769940736566,-1.58880204738785,3.10487424204904,-8.9745840959685,43.9334394242062,0.629405029811046,0.813009400380072,0.665624628081326,1.22999807816799,1.52237449740629,1.68134245285896,0.080603109061061,0.0997628531493179,0.110180195808625,0.471425839009412,0.787384220612679,0.617477801212451,1.00854099954769,0.44967541248685,0.881573843675803,0.44967541248685,0.881573843675803,0.648914109542389,1,0.0402326574720758,0.119873238286158,0.0402326574720758,0.049731184499484,0.155928623030326,0.049731184499484,TRUE,FALSE,FALSE,"weak_sample_separation",6,12
1,8,2.59188319572135,-0.383452360989933,0.155575480180567,-0.06323391311129,0.0257517899046397,2.60788588553313,0.94510852852968,0.950943775521325,1.0580795430507,0.00137715000178185,0.0203125181788647,0.309754133890229,0.000403162417079662,0.00594651556865256,2.00077893904588,3.21499283202037,0.944318344712283,0.945898712347076,0.939288819173259,0.962598731869391,0.939288819173259,0.962598731869391,0.944445385365696,1,Inf,1.05806286802614,1.05806286802614,Inf,0.408221662832948,0.408221662832948,TRUE,TRUE,TRUE,"regular_separated",8,12
2,8,1.5338203276952,-0.672613079370324,0.480705594395287,-0.345930829159869,0.250967561039015,1.48673885577153,0.941133949375283,0.912245316975612,1.06254800463185,0.00931288242631534,0.0662401621313057,0.17696131633455,0.0015510075082214,0.0110319216015386,1.13990104909901,1.83357666244405,0.938094030519418,0.944173868231148,0.890623147956327,0.933867485994897,0.890623147956327,0.933867485994897,0.938582769049956,1,1.05806286802614,0.497177981814645,0.497177981814645,0.408221662832948,0.324143560257628,0.324143560257628,TRUE,TRUE,TRUE,"regular_separated",8,12
3,8,1.03664234588056,-1.04582072740163,1.17598662530135,-1.35382269134279,1.60726073898498,0.956186824184032,0.930062443169878,0.857878763453402,1.07519662506934,0.0497768450969258,0.18301123886327,0.114486972121788,0.00530024010869155,0.0194870427540283,0.731796482126286,1.18057716624178,0.919674163447427,0.940450722892328,0.819684861490314,0.89607266541649,0.819684861490314,0.89607266541649,0.921344324003383,1,0.497177981814645,0.218576171728348,0.218576171728348,0.324143560257628,0.210850128394748,0.210850128394748,TRUE,TRUE,TRUE,"regular_separated",8,12
4,8,0.81806617415221,-1.39070089352443,2.12712887194176,-3.46025657115099,6.15005825750577,0.719061880708019,0.90922980772864,0.799192676825557,1.09983195832318,0.176734373274491,0.40081143111284,0.0870760664529627,0.0139924412227802,0.0317331048134838,0.548395926544796,0.889727834871243,0.881805126876197,0.936654488581082,0.736996934273494,0.86138841937762,0.736996934273494,0.86138841937762,0.886214290033444,1,0.218576171728348,0.00906357594356832,0.00906357594356832,0.210850128394748,0.011079269904982,0.011079269904982,TRUE,FALSE,FALSE,"weak_sample_separation",8,12
5,8,0.809002598208641,-1.41026920558686,2.19140653766816,-3.63372776850805,6.6176197961112,0.709084475530234,0.907572008223957,0.795479795593235,1.10184094588474,0.189281584812251,0.41870920866132,0.0859462236388399,0.0147644153902132,0.032660317645349,0.540632972590883,0.877535978469586,0.87863428580635,0.936509730641564,0.731466749284713,0.859492841901757,0.731466749284713,0.859492841901757,0.883286706019547,1,0.00906357594356832,0.0402326574720758,0.00906357594356832,0.011079269904982,0.049731184499484,0.011079269904982,TRUE,FALSE,FALSE,"weak_sample_separation",8,12
6,8,0.768769940736566,-1.50478739476225,2.51994465365669,-4.58889644061259,9.45134980253353,0.66454570491534,0.898585252715579,0.776761601292927,1.11286046257485,0.263127777009923,0.517838707873406,0.0809495763693395,0.0191399396386828,0.037667637084536,0.50588745066766,0.82320395916302,0.86107166035749,0.936098845073668,0.702934389224512,0.850588813361343,0.702934389224512,0.850588813361343,0.867102853581259,1,0.0402326574720758,0.119873238286158,0.0402326574720758,0.049731184499484,0.155928623030326,0.049731184499484,TRUE,FALSE,FALSE,"weak_sample_separation",8,12
1,10,2.59188319572135,-0.377095966965882,0.152544737535941,-0.0617886282494436,0.0250624650430427,2.65184485542503,0.93219451944994,0.953760279297902,1.07273748035986,0.000983518841759179,0.0188464743177734,0.317149629215181,0.00029077257176232,0.00557186865503214,2.03024300445304,3.27344670639702,0.931624615681593,0.932764423218286,0.942839617407452,0.964680941188353,0.942839617407452,0.964680941188353,0.931716241130658,1,Inf,1.05806286802614,1.05806286802614,Inf,0.408221662832948,0.408221662832948,TRUE,TRUE,TRUE,"regular_separated",10,12
2,10,1.5338203276952,-0.659783156433589,0.468352417957921,-0.334029320251396,0.23949412863188,1.51564948308991,0.929457811729673,0.91844672186526,1.07589606260778,0.0062138012105335,0.0593102210766799,0.181532046255523,0.00104843217479494,0.0100071988086104,1.15985321038923,1.8714457557906,0.927402922426842,0.931512701032504,0.898832972614252,0.938060471116269,0.898832972614252,0.938060471116269,0.927733294264349,1,1.05806286802614,0.497177981814645,0.497177981814645,0.408221662832948,0.324143560257628,0.324143560257628,TRUE,TRUE,TRUE,"regular_separated",10,12
3,10,1.03664234588056,-1.02119632740111,1.13040598330496,-1.26926047389458,1.45002821936748,0.979243631383737,0.92253752589717,0.871456776329106,1.08396674598954,0.0293239401193608,0.151699866308545,0.117724838572002,0.00318474356304664,0.0164754521655225,0.748507187696821,1.20998007507065,0.916295543213603,0.928779508580737,0.839165483455669,0.903748069202542,0.839165483455669,0.903748069202542,0.917299088896582,1,0.497177981814645,0.218576171728348,0.218576171728348,0.324143560257628,0.210850128394748,0.210850128394748,TRUE,TRUE,TRUE,"regular_separated",10,12
4,10,0.81806617415221,-1.34930058354296,1.99775928041985,-3.0534646045035,4.86317267665993,0.741124707271839,0.911327046553257,0.825614127494808,1.09730091275368,0.0872248401317881,0.292189512495627,0.0896444754572479,0.00712587126245445,0.023870549342794,0.565424763962648,0.91682465058103,0.897360595520377,0.925293497586137,0.778828710491745,0.87239954449787,0.778828710491745,0.87239954449787,0.899606031362019,1,0.218576171728348,0.00906357594356832,0.00906357594356832,0.210850128394748,0.011079269904982,0.011079269904982,TRUE,FALSE,FALSE,"weak_sample_separation",10,12
5,10,0.809002598208641,-1.36766194055574,2.05433316653846,-3.18982421731631,5.17086057245981,0.731174839590589,0.910514036433769,0.822920663059163,1.09828070736473,0.0922405772053914,0.302252831726592,0.0884804421472611,0.00743114852179699,0.0243502995291614,0.557756359645778,0.904593319535401,0.895949252967279,0.92507881990026,0.775194952969244,0.870646373149082,0.775194952969244,0.870646373149082,0.898290884835277,1,0.00906357594356832,0.0402326574720758,0.00906357594356832,0.011079269904982,0.049731184499484,0.011079269904982,TRUE,FALSE,FALSE,"weak_sample_separation",10,12
6,10,0.768769940736566,-1.45583822089597,2.33864733844195,-3.91160372316217,6.90017144912357,0.686889508495365,0.906278125214711,0.80975192057119,1.1034140317169,0.119991335164999,0.354682011113433,0.0833154419815707,0.00906018125188718,0.0267809613340223,0.52359424285545,0.85018477413528,0.888520496267607,0.924035754161815,0.757262200885146,0.862241640257233,0.757262200885146,0.862241640257233,0.891375453221707,1,0.0402326574720758,0.119873238286158,0.0402326574720758,0.049731184499484,0.155928623030326,0.049731184499484,TRUE,FALSE,FALSE,"weak_sample_separation",10,12
1,6,2.78196749171654,-0.374281690677382,0.14669835211214,-0.0578549164023538,0.0229822394304438,2.67178444713707,0.954930862953622,0.917109720127037,1.0471962304234,0.00464815034638033,0.0342596151681013,0.315707443048688,0.00140131870047726,0.0103285470194828,2.05300922911042,3.29055966516373,0.952184328769824,0.95767739713742,0.896866139956222,0.937353300297852,0.896866139956222,0.937353300297852,0.952625898806627,1,Inf,0.765208017126606,0.765208017126606,Inf,0.275060013966754,0.275060013966754,TRUE,TRUE,TRUE,"regular_separated",6,18
2,6,2.01675947458993,-0.535292982867595,0.302294204967127,-0.173502274829408,0.101641363699593,1.86813582842604,0.947879823030173,0.878026497832544,1.05498606015603,0.0174885183821361,0.0766796595685539,0.221565010937755,0.00367288622377627,0.01610403232105,1.43387638675382,2.30239527009826,0.940681098312259,0.955078547748088,0.846463174477417,0.909589821187671,0.846463174477417,0.909589821187671,0.941838462803615,1,0.765208017126606,0.455879922741408,0.455879922741408,0.275060013966754,0.226045757307823,0.226045757307823,TRUE,TRUE,TRUE,"regular_separated",6,18
3,6,1.56087955184853,-0.722489530922786,0.559646381038405,-0.451839378302411,0.386312702825957,1.38410310073666,0.932715979194737,0.827081806140121,1.0721377378603,0.0611070041095432,0.164968903218494,0.16548670214125,0.00943199388541414,0.025463295232916,1.0597551246195,1.70845107685381,0.914229610876923,0.951202347512551,0.777174664555895,0.876988947724347,0.777174664555895,0.876988947724347,0.917201729842929,1,0.455879922741408,0.209491515894891,0.209491515894891,0.226045757307823,0.13421376149543,0.13421376149543,TRUE,TRUE,TRUE,"regular_separated",6,18
4,6,1.35138803595364,-0.863984719226503,0.817660997269175,-0.838258388010316,0.965156664657698,1.15742787776995,0.912932862824519,0.781902694010296,1.09537079967316,0.143890984164154,0.28462642275031,0.139876219699823,0.018374533007247,0.0363461104247771,0.883275524864688,1.43158023067522,0.876919439897573,0.948946285751466,0.710665626599617,0.853139761420975,0.710665626599617,0.853139761420975,0.882709445564009,1,0.209491515894891,0.371173369514204,0.209491515894891,0.13421376149543,0.274660837331062,0.13421376149543,TRUE,TRUE,TRUE,"regular_separated",6,18
5,6,0.980214666439431,-1.40410635609605,3.13119747556815,-15.5032909728671,131.865494725362,0.712196761775496,0.629636001757315,0.457476037547679,1.58821922064335,3.42673747437517,3.04324695119361,0.103639327623271,0.223611931633624,0.198587237651937,0.509067412251938,0.915326111299054,0.19136466924198,1.06790733427265,0.0682522039605867,0.846699871134771,0.0682522039605867,0.846699871134771,0.261827104980125,1,0.371173369514204,0.0693136850114928,0.0693136850114928,0.274660837331062,0.0707127605662854,0.0707127605662854,TRUE,TRUE,TRUE,"regular_separated",6,18
6,6,0.910900981427938,-1.86845684565462,20.8652977945707,-875.567333285498,43069.5150306632,0.535201014851187,0.167317572864071,0.098307649925803,5.97665853551678,10.3053302801635,7.04480037372978,0.151082971718717,0.260506755408162,0.178084354209503,0.239083831605218,0.831318198097155,-0.343266285465312,0.677901431193454,-0.250731270534897,0.447346570386503,0,0.447346570386503,-0.261177908614405,0,0.0693136850114928,0.0198679876113373,0.0198679876113373,0.0707127605662854,0.0218113582227039,0.0218113582227039,FALSE,FALSE,FALSE,"phase_not_certified",6,18
